ModelID,PatientID,CellLineName,StrippedCellLineName,Age,SourceType,SangerModelID,RRID,DepmapModelType,AgeCategory,GrowthPattern,LegacyMolecularSubtype,PrimaryOrMetastasis,SampleCollectionSite,Sex,SourceDetail,LegacySubSubtype,CatalogNumber,CCLEName,COSMICID,PublicComments,WTSIMasterCellID,EngineeredModel,TreatmentStatus,OnboardedMedia,PlateCoating,OncotreeCode,OncotreeSubtype,OncotreePrimaryDisease,OncotreeLineage
ACH-000001,PT-gj46wT,NIH:OVCAR-3,NIHOVCAR3,60.0,Commercial,SIDM00105,CVCL_0465,HGSOC,Adult,Adherent,,Metastatic,ascites,Female,ATCC,high_grade_serous,HTB-71,NIHOVCAR3_OVARY,905933.0,,2201.0,,,MF-001-041,None,HGSOC,High-Grade Serous Ovarian Cancer,Ovarian Epithelial Tumor,Ovary/Fallopian Tube
ACH-000002,PT-5qa3uk,HL-60,HL60,36.0,Commercial,SIDM00829,CVCL_0002,AML,Adult,Suspension,,Primary,haematopoietic_and_lymphoid_tissue,Female,ATCC,M3,CCL-240,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,905938.0,,55.0,,,MF-005-001,None,AML,Acute Myeloid Leukemia,Acute Myeloid Leukemia,Myeloid
ACH-000003,PT-puKIyc,CACO2,CACO2,72.0,Commercial,SIDM00891,CVCL_0025,COAD,Adult,Adherent,,Primary,Colon,Male,ATCC,,HTB-37,CACO2_LARGE_INTESTINE,,,,,Unknown,MF-015-009,None,COAD,Colon Adenocarcinoma,Colorectal Adenocarcinoma,Bowel
ACH-000004,PT-q4K2cp,HEL,HEL,30.0,Commercial,SIDM00594,CVCL_0001,AML,Adult,Suspension,,Primary,haematopoietic_and_lymphoid_tissue,Male,DSMZ,M6,ACC 11,HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,907053.0,,783.0,,Post-treatment,MF-001-001,None,AML,Acute Myeloid Leukemia,Acute Myeloid Leukemia,Myeloid
ACH-000005,PT-q4K2cp,HEL 92.1.7,HEL9217,30.0,Commercial,SIDM00593,CVCL_2481,AML,Adult,Mixed,,,bone_marrow,Male,ATCC,M6,HEL9217,HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,,,,MF-001-001,None,AML,Acute Myeloid Leukemia,Acute Myeloid Leukemia,Myeloid
ACH-000006,PT-ej13Dz,MONO-MAC-6,MONOMAC6,64.0,Commercial,SIDM01023,CVCL_1426,AMOL,Adult,Suspension,,Primary,haematopoietic_and_lymphoid_tissue,Male,DSMZ,M5,ACC 124,MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,908148.0,,2167.0,,,MF-001-001,None,AMOL,Acute Monoblastic/Monocytic Leukemia,Acute Myeloid Leukemia,Myeloid
ACH-000007,PT-NOXwpH,LS513,LS513,63.0,Commercial,SIDM00677,CVCL_1386,COAD,Adult,Adherent,,Primary,large_intestine,Male,ATCC,,CRL-2134,LS513_LARGE_INTESTINE,907795.0,,569.0,,,MF-001-001,None,COAD,Colon Adenocarcinoma,Colorectal Adenocarcinoma,Bowel
ACH-000008,PT-fp8PeY,A101D,A101D,56.0,Commercial,SIDM00801,CVCL_1057,MEL,Adult,Adherent,,Primary,skin,Male,ATCC,,CRL-7898,A101D_SKIN,910921.0,,1806.0,,,MF-002-001,None,MEL,Melanoma,Melanoma,Skin
ACH-000009,PT-puKIyc,C2BBe1,C2BBE1,72.0,Commercial,SIDM01233,CVCL_1096,COAD,Adult,Adherent,,Primary,Colon,Male,ATCC,,CRL-2102,C2BBE1_LARGE_INTESTINE,910700.0,,2104.0,,,MF-002-021,None,COAD,Colon Adenocarcinoma,Colorectal Adenocarcinoma,Bowel
ACH-000011,PT-AR7W9o,253J,253J,53.0,Commercial,,CVCL_7935,BLCA,Adult,Adherent,,Metastatic,lymph_node,Male,KCLB,,80001,253J_URINARY_TRACT,,,,,,MF-002-001,None,BLCA,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,Bladder/Urinary Tract
