screen_accession	screen_row_id	MORF_id	reason	detail	source_transcript_ids	log2FoldChange
IGVFFI6734IWRB	ARID1B_1	ARID1B_1	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	XM_005267069,ENST00000636930
IGVFFI6734IWRB	ARID2_1	ARID2_1	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_152641,ENST00000334344
IGVFFI6734IWRB	ASH1L_1	ASH1L_1	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_018489,XM_006711451,XM_006711450,XM_017001784,XM_017001785,ENST00000392403
IGVFFI6734IWRB	ATF6_1	ATF6_1	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_007348,ENST00000367942
IGVFFI6734IWRB	BAZ2B_1	BAZ2B_1	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_001289975,ENST00000392782
IGVFFI6734IWRB	BAZ2B_2	BAZ2B_2	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_013450,ENST00000392783
IGVFFI6734IWRB	BPTF_1	BPTF_1	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_182641,ENST00000306378
IGVFFI6734IWRB	BTAF1_1	BTAF1_1	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_003972,ENST00000265990
IGVFFI6734IWRB	CAMTA2_4	CAMTA2_4	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_015099,ENST00000348066
IGVFFI6734IWRB	CHD5_1	CHD5_1	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_015557,ENST00000262450
IGVFFI6734IWRB	CHD6_1	CHD6_1	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_032221,ENST00000373233
IGVFFI6734IWRB	CHD7_2	CHD7_2	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_017780,ENST00000423902
IGVFFI6734IWRB	CREBBP_1	CREBBP_1	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_004380,ENST00000262367
IGVFFI6734IWRB	DENND4A_2	DENND4A_2	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_001144823,ENST00000443035
IGVFFI6734IWRB	EP300_1	EP300_1	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_001429,ENST00000263253
IGVFFI6734IWRB	EP400_1	EP400_1	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_015409,ENST00000389561,ENST00000389562
IGVFFI6734IWRB	ESRRG_4	ESRRG_4	no_transcript	No supplied ENST and no GENCODE v43 RefSeq RNA cross-reference yielding a Catalog transcript.	XM_011509277.1	0.121263996735838
IGVFFI6734IWRB	FLI1_4	FLI1_4	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_002017,ENST00000527786
IGVFFI6734IWRB	GFP_1	GFP_1	control_construct	GFP/mCherry control; intentionally not adapted.		0.512580913526579
IGVFFI6734IWRB	GON4L_3	GON4L_3	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_001282860,NM_001282856,ENST00000368331,ENST00000615926
IGVFFI6734IWRB	HELZ2_2	HELZ2_2	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_001037335,ENST00000467148
