TF_uniprot_name TF_uniprot_id
A0A023HHK9_HUMAN	A0A023HHK9
A0A126GW21_HUMAN	A0A126GW21
A2NVP9_HUMAN	A2NVP9
A4_HUMAN	P05067
ABC3B_HUMAN	Q9UH17
ADA2_HUMAN	Q9NZK5
ADNP_HUMAN	Q9H2P0
AEBP2_HUMAN	Q6ZN18
AF9_HUMAN	P42568
AFF1_HUMAN	P51825
AFF4_HUMAN	Q9UHB7
AGM1_HUMAN	O95394
AGO1_HUMAN	Q9UL18
AGO2_HUMAN	Q9UKV8
AHRR_HUMAN	A9YTQ3
AHR_HUMAN	P35869
ALKB3_HUMAN	Q96Q83
ALX4_HUMAN	Q9H161
ANDR_HUMAN	P10275
ANM1_HUMAN	Q99873
ANM3_HUMAN	O60678
ANM5_HUMAN	O14744
AP2A_HUMAN	P05549
AP2C_HUMAN	Q92754
APC_HUMAN	P25054
ARI1A_HUMAN	O14497
ARI1B_HUMAN	Q8NFD5
ARI3A_HUMAN	Q99856
ARI3B_HUMAN	Q8IVW6
ARI4B_HUMAN	Q4LE39
ARI5B_HUMAN	Q14865
ARID2_HUMAN	Q68CP9
ARNT2_HUMAN	Q9HBZ2
ARNT_HUMAN	P27540
ARRB1_HUMAN	P49407
ASCL1_HUMAN	P50553
ASCL2_HUMAN	Q99929
ASF1A_HUMAN	Q9Y294
ASH1L_HUMAN	Q9NR48
ASH2L_HUMAN	Q9UBL3
ASXL2_HUMAN	Q76L83
AT7L3_HUMAN	Q14CW9
ATF1_HUMAN	P18846
ATF2_HUMAN	P15336
ATF3_HUMAN	P18847
ATF4_HUMAN	P18848
ATF5_HUMAN	Q9Y2D1
ATF6A_HUMAN	P18850
ATF7_HUMAN	P17544
ATM_HUMAN	Q13315
ATOH1_HUMAN	Q92858
ATOH8_HUMAN	Q96SQ7
ATRX_HUMAN	P46100
ATTY_HUMAN	P17735
AUTS2_HUMAN	Q8WXX7
BACH1_HUMAN	O14867
BACH2_HUMAN	Q9BYV9
BAHD1_HUMAN	Q8TBE0
BANP_HUMAN	Q8N9N5
BAP1_HUMAN	Q92560
BARH1_HUMAN	Q9BZE3
BARX1_HUMAN	Q9HBU1
BARX2_HUMAN	Q9UMQ3
BATF2_HUMAN	Q8N1L9
BATF3_HUMAN	Q9NR55
BATF_HUMAN	Q16520
BBX_HUMAN	Q8WY36
BC11A_HUMAN	Q9H165
BC11B_HUMAN	Q9C0K0
BCL3_HUMAN	P20749
BCL6B_HUMAN	Q8N143
BCL6_HUMAN	P41182
BCLF1_HUMAN	Q9NYF8
BCOR_HUMAN	Q6W2J9
BDP1_HUMAN	A6H8Y1
BHE40_HUMAN	O14503
BHE41_HUMAN	Q9C0J9
BICRA_HUMAN	Q9NZM4
BMAL1_HUMAN	O00327
BMAL2_HUMAN	Q8WYA1
BMI1_HUMAN	P35226
BPTF_HUMAN	Q12830
BRCA1_HUMAN	P38398
BRCA2_HUMAN	P51587
BRD1_HUMAN	O95696
BRD2_HUMAN	P25440
BRD3_HUMAN	Q15059
BRD4_HUMAN	O60885
BRD7_HUMAN	Q9NPI1
BRD9_HUMAN	Q9H8M2
BRF2_HUMAN	Q9HAW0
BRPF3_HUMAN	Q9ULD4
C1TC_HUMAN	P11586
C2D1A_HUMAN	Q6P1N0
C2TA_HUMAN	P33076
C8AP2_HUMAN	Q9UKL3
CADH4_HUMAN	P55283
CAF1A_HUMAN	Q13111
CAF1B_HUMAN	Q13112
CARM1_HUMAN	Q86X55
CASP3_HUMAN	P42574
CASZ1_HUMAN	Q86V15
CATA_HUMAN	P04040
CAVN1_HUMAN	Q6NZI2
CBLL2_HUMAN	Q8N7E2
CBP_HUMAN	Q92793
CBX1_HUMAN	P83916
CBX2_HUMAN	Q14781
CBX3_HUMAN	Q13185
CBX5_HUMAN	P45973
CBX6_HUMAN	O95503
CBX7_HUMAN	O95931
CBX8_HUMAN	Q9HC52
CCAR2_HUMAN	Q8N163
CCND2_HUMAN	P30279
CCNT2_HUMAN	O60583
CDC5L_HUMAN	Q99459
CDC73_HUMAN	Q6P1J9
CDK12_HUMAN	Q9NYV4
CDK2_HUMAN	P24941
CDK7_HUMAN	P50613
CDK8_HUMAN	P49336
CDK9_HUMAN	P50750
CDN1B_HUMAN	P46527
CDX1_HUMAN	P47902
CDX2_HUMAN	Q99626
CEBPA_HUMAN	P49715
CEBPB_HUMAN	P17676
CEBPD_HUMAN	P49716
CEBPE_HUMAN	Q15744
CEBPG_HUMAN	P53567
CEBPZ_HUMAN	Q03701
CENPA_HUMAN	P49450
CENPT_HUMAN	Q96BT3
CGAS_HUMAN	Q8N884
CHAP1_HUMAN	Q96JM3
CHD1_HUMAN	O14646
CHD2_HUMAN	O14647
CHD4_HUMAN	Q14839
CHD7_HUMAN	Q9P2D1
CHD8_HUMAN	Q9HCK8
CHLE_HUMAN	P06276
CHTOP_HUMAN	Q9Y3Y2
CIC_HUMAN	Q96RK0
CLOCK_HUMAN	O15516
CNDH2_HUMAN	Q6IBW4
CNOT3_HUMAN	O75175
COBL1_HUMAN	Q53SF7
COE1_HUMAN	Q9UH73
COE3_HUMAN	Q9H4W6
COIL_HUMAN	P38432
COT1_HUMAN	P10589
COT2_HUMAN	P24468
CPSF3_HUMAN	Q9UKF6
CR3L1_HUMAN	Q96BA8
CR3L2_HUMAN	Q70SY1
CR3L4_HUMAN	Q8TEY5
CRBL2_HUMAN	O60519
CREB1_HUMAN	P16220
CREB3_HUMAN	O43889
CREB5_HUMAN	Q02930
CREM_HUMAN	Q03060
CRML_HUMAN	Q96RY5
CRTC2_HUMAN	Q53ET0
CRY1_HUMAN	Q16526
CSHL_HUMAN	Q14406
CSK21_HUMAN	P68400
CSN2_HUMAN	P61201
CTBP1_HUMAN	Q13363
CTBP2_HUMAN	P56545
CTCFL_HUMAN	Q8NI51
CTCF_HUMAN	P49711
CTNB1_HUMAN	P35222
CTR9_HUMAN	Q6PD62
CUL4A_HUMAN	Q13619
CUX1_HUMAN	P39880
CXXC1_HUMAN	Q9P0U4
CXXC4_HUMAN	Q9H2H0
DACH1_HUMAN	Q9UI36
DAXX_HUMAN	Q9UER7
DBP_HUMAN	Q10586
DCP1A_HUMAN	Q9NPI6
DDIT3_HUMAN	P35638
DDX11_HUMAN	Q96FC9
DDX20_HUMAN	Q9UHI6
DDX21_HUMAN	Q9NR30
DDX5_HUMAN	P17844
DEAF1_HUMAN	O75398
DEK_HUMAN	P35659
DHB8_HUMAN	Q92506
DICER_HUMAN	Q9UPY3
DIDO1_HUMAN	Q9BTC0
DKK1_HUMAN	O94907
DLX1_HUMAN	P56177
DLX2_HUMAN	Q07687
DLX4_HUMAN	Q92988
DLX6_HUMAN	P56179
DMAP1_HUMAN	Q9NPF5
DMC1_HUMAN	Q14565
DMRT1_HUMAN	Q9Y5R6
DMRT2_HUMAN	Q9Y5R5
DNM3A_HUMAN	Q9Y6K1
DNM3B_HUMAN	Q9UBC3
DNMT1_HUMAN	P26358
DOT1L_HUMAN	Q8TEK3
DPPA3_HUMAN	Q6W0C5
DTL_HUMAN	Q9NZJ0
DUX4_HUMAN	Q9UBX2
DYR1A_HUMAN	Q13627
E2F1_HUMAN	Q01094
E2F2_HUMAN	Q14209
E2F3_HUMAN	O00716
E2F4_HUMAN	Q16254
E2F5_HUMAN	Q15329
E2F6_HUMAN	O75461
E2F7_HUMAN	Q96AV8
E2F8_HUMAN	A0AVK6
E4F1_HUMAN	Q66K89
EBP2_HUMAN	Q99848
EBP_HUMAN	Q15125
EED_HUMAN	O75530
EGFR_HUMAN	P00533
EGR1_HUMAN	P18146
EGR2_HUMAN	P11161
EGR3_HUMAN	Q06889
EGR4_HUMAN	Q05215
EHF_HUMAN	Q9NZC4
EHMT2_HUMAN	Q96KQ7
ELF1_HUMAN	P32519
ELF2_HUMAN	Q15723
ELF3_HUMAN	P78545
ELF4_HUMAN	Q99607
ELF5_HUMAN	Q9UKW6
ELK1_HUMAN	P19419
ELK3_HUMAN	P41970
ELK4_HUMAN	P28324
ELL2_HUMAN	O00472
EMSY_HUMAN	Q7Z589
EMX1_HUMAN	Q04741
ENL_HUMAN	Q03111
EOMES_HUMAN	O95936
EP300_HUMAN	Q09472
EP400_HUMAN	Q96L91
EPAS1_HUMAN	Q99814
EPC1_HUMAN	Q9H2F5
ERBB2_HUMAN	P04626
ERCC2_HUMAN	P18074
ERCC3_HUMAN	P19447
ERCC6_HUMAN	Q03468
ERCC8_HUMAN	Q13216
ERF_HUMAN	P50548
ERG_HUMAN	P11308
ERR1_HUMAN	P11474
ESCO2_HUMAN	Q56NI9
ESR1_HUMAN	P03372
ESR2_HUMAN	Q92731
ETS1_HUMAN	P14921
ETS2_HUMAN	P15036
ETV1_HUMAN	P50549
ETV2_HUMAN	O00321
ETV4_HUMAN	P43268
ETV5_HUMAN	P41161
ETV6_HUMAN	P41212
ETV7_HUMAN	Q9Y603
EVX1_HUMAN	P49640
EWS_HUMAN	Q01844
EZH2_HUMAN	Q15910
FA10_HUMAN	P00742
FACD2_HUMAN	Q9BXW9
FER3L_HUMAN	Q96RJ6
FEV_HUMAN	Q99581
FEZF1_HUMAN	A0PJY2
FGFR1_HUMAN	P11362
FIP1_HUMAN	Q6UN15
FLI1_HUMAN	Q01543
FOSB_HUMAN	P53539
FOSL1_HUMAN	P15407
FOSL2_HUMAN	P15408
FOS_HUMAN	P01100
FOXA1_HUMAN	P55317
FOXA2_HUMAN	Q9Y261
FOXA3_HUMAN	P55318
FOXC1_HUMAN	Q12948
FOXD2_HUMAN	O60548
FOXD3_HUMAN	Q9UJU5
FOXE1_HUMAN	O00358
FOXF1_HUMAN	Q12946
FOXF2_HUMAN	Q12947
FOXG1_HUMAN	P55316
FOXH1_HUMAN	O75593
FOXJ2_HUMAN	Q9P0K8
FOXK1_HUMAN	P85037
FOXK2_HUMAN	Q01167
FOXM1_HUMAN	Q08050
FOXN3_HUMAN	O00409
FOXO1_HUMAN	Q12778
FOXO3_HUMAN	O43524
FOXO4_HUMAN	P98177
FOXP1_HUMAN	Q9H334
FOXP2_HUMAN	O15409
FOXP3_HUMAN	Q9BZS1
FOXQ1_HUMAN	Q9C009
FOXR2_HUMAN	Q6PJQ5
FUS_HUMAN	P35637
FXR1_HUMAN	P51114
FXR2_HUMAN	P51116
GABP1_HUMAN	Q06547
GABPA_HUMAN	Q06546
GATA1_HUMAN	P15976
GATA2_HUMAN	P23769
GATA3_HUMAN	P23771
GATA4_HUMAN	P43694
GATA6_HUMAN	Q92908
GATD1_HUMAN	Q8WUU5
GCM2_HUMAN	O75603
GCR_HUMAN	P04150
GCYB1_HUMAN	Q02153
GFI1B_HUMAN	Q5VTD9
GFI1_HUMAN	Q99684
GLI1_HUMAN	P08151
GLI2_HUMAN	P10070
GLI3_HUMAN	P10071
