GTRD_CELL_TYPE_ID	GTRD_CELL_TYPE_NAME	BAD_GROUP_NAME_agg	cellosaurus_id	species	cell_ontology_id	exp_factor_ontology_id	uberon_id	source	source_id	cell_type_id	brenda_id	other_id
113	MCF7 (Invasive ductal breast carcinoma)	MCF7__Invasive_ductal_breast_carcinoma_	CVCL_0031	Homo sapiens	CLO:0007606	EFO:0001203		cell line	CL:0000010	CVCL_0031	BTO:0000093	NULL
514	K562 (myelogenous leukemia)	K562__myelogenous_leukemia_	CVCL_0004	Homo sapiens		EFO:0002067		cell line	CL:0000010	CVCL_0004		NULL
10	HEK293T (embryonic kidney)	HEK293T__embryonic_kidney_	CVCL_0063	Homo sapiens		EFO:0001184		cell line	CL:0000010	CVCL_0063	BTO:0002181	NULL
848	U2OS (osteosarcoma)	U2OS__osteosarcoma_	CVCL_0042	Homo sapiens	CLO:0009454	EFO:0002869		cell line	CL:0000010	CVCL_0042	BTO:0001938	NULL
892	MSC (mesenchymal stem cells)	MSC__mesenchymal_stem_cells_		Homo sapiens		EFO:0000586		stem cell	CL:0000034	CL:0000134		NULL
3115	HCC1806(Squamous cell breast carcinoma, acantholytic variant)	HCC1806_Squamous_cell_breast_carcinoma__acantholytic_variant_	CVCL_1258	Homo sapiens				cell line	CL:0000010			NULL
70	LNCaP (prostate carcinoma)	LNCaP__prostate_carcinoma_	CVCL_0395	Homo sapiens	CLO:0037116	EFO:0002071		cell line	CL:0000010	CVCL_0395	BTO:0001321	NULL
3116	non-malignant adjacent tissues of prostate cancer patient	non-malignant_adjacent_tissues_of_prostate_cancer_patient		Homo sapiens				prostate	UBERON:0002367			NULL
66	prostate cancer	prostate_cancer		Homo sapiens				cancer	EFO:0000311	BTO:0001130		NULL
38	A549 (lung carcinoma)	A549__lung_carcinoma_	CVCL_0023	Homo sapiens		EFO:0001086		cell line	CL:0000010	CVCL_0023	BTO:0000018	NULL
423	HeLa S3 (cervical adenocarcinoma)	HeLa_S3__cervical_adenocarcinoma_	CVCL_0058	Homo sapiens	CLO:0003699	EFO:0002791		cell line	CL:0000010	CVCL_0058	BTO:0000568	NULL
