Protein ID 1	Protein ID 2	Detection Method	Detection Method (PSI-MI)	Interaction Type	Interaction Type (PSI-MI)	Confidence Value	Source	PMIDs	Count	Confidence Values
A5D8V7	O43463	two hybrid	MI:0018	direct interaction	MI:0407		BioGRID	[23455924]	2	nan, 0.51
A5PL33	P53350	two hybrid	MI:0018	direct interaction	MI:0407		BioGRID	[21988832]	2	nan, 0.37
A5YKK6	Q8WYA6	genetic interference	MI:0254	sensu biogrid	MI:2371	3.094186404	BioGRID	[30033366]	2	3.094186404, nan
A5YKK6	Q9UPQ9	pull down	MI:0096	direct interaction	MI:0407		BioGRID	[21981923]	2	nan, 0.58
A6NHX0	A6NHX0	anti tag coimmunoprecipitation	MI:0007	association	MI:0914	0.5	IntAct	['26972053']	2	0.5, 0.5
A6NI79	Q9NYL2	two hybrid	MI:0018	direct interaction	MI:0407		BioGRID	[21900206]	2	nan, 0.37
A6NJY4	Q8WY22	anti tag coimmunoprecipitation	MI:0007	association	MI:0914	0.5	IntAct	['33112233']	2	0.5, 0.5
A7MCY6	Q9UKV8	anti tag coimmunoprecipitation	MI:0007	association	MI:0914	0.5	IntAct	[21903422]	2	0.5, 0.5
A7XYQ1	Q13363	two hybrid	MI:0018	direct interaction	MI:0407		BioGRID	[21900206]	2	nan, 0.55
A8CG34	P42229	two hybrid	MI:0018	direct interaction	MI:0407		BioGRID	[21988832]	2	nan, 0.37
A8MTZ0	Q96RK4	tandem affinity purification	MI:0676	association	MI:0914	0.81	IntAct	['19081074']	2	0.81, 0.81
A8MW95	Q5JY77	two hybrid	MI:0018	direct interaction	MI:0407		BioGRID	[23954414]	2	nan, 0.58
A8MZ97	Q9NUX5	two hybrid	MI:0018	direct interaction	MI:0407		BioGRID	[21988832]	2	nan, 0.37
B7ZBB8	P62136	two hybrid	MI:0018	direct interaction	MI:0407		BioGRID	[22321011]	2	nan, 0.37
E9PAV3	P40222	anti tag coimmunoprecipitation	MI:0007	association	MI:0914	0.5	IntAct	[21903422]	2	0.5, 0.5
O00141	O95257	two hybrid	MI:0018	direct interaction	MI:0407		BioGRID	[21988832]	2	nan, 0.44
O00141	Q9UI14	two hybrid	MI:0018	direct interaction	MI:0407		BioGRID	[21988832]	2	nan, 0.49
O00148	Q05397	two hybrid	MI:0018	direct interaction	MI:0407		BioGRID	[21900206]	2	nan, 0.37
O00151	O75582	two hybrid	MI:0018	direct interaction	MI:0407		BioGRID	[21900206]	2	nan, 0.37
O00151	Q16659	two hybrid	MI:0018	direct interaction	MI:0407		BioGRID	[21900206]	2	nan, 0.37
