From	To
Q15796	ENSP00000262160.6
Q15796	ENSP00000349282.4
Q15796	ENSP00000384449.1
Q15796	ENSP00000466193.1
Q13485	ENSP00000341551.3
Q13485	ENSP00000381452.1
Q13485	ENSP00000465878.2
Q13485	ENSP00000466934.2
Q13485	ENSP00000465874.2
Q13485	ENSP00000464772.2
P84022	ENSP00000332973.4
P84022	ENSP00000401133.3
P84022	ENSP00000445348.2
P84022	ENSP00000437757.2
P84022	ENSP00000454165.2
P84022	ENSP00000453684.2
P84022	ENSP00000452767.2
P84022	ENSP00000453082.2
P84022	ENSP00000505445.1
P84022	ENSP00000505641.1
P18848	ENSP00000336790.2
P18848	ENSP00000379912.1
P18848	ENSP00000384587.2
P18848	ENSP00000501783.2
P18848	ENSP00000502610.2
P18848	ENSP00000501863.1
P18848	ENSP00000502400.2
P18848	ENSP00000505360.1
P16220	ENSP00000236995.3
P16220	ENSP00000405539.1
P16220	ENSP00000387699.2
P18846	ENSP00000262053.3
P16066	ENSP00000357669.3
P06702	ENSP00000357727.3
P35228	ENSP00000327251.6
P05109	ENSP00000357721.1
P05109	ENSP00000357722.3
Q15797	ENSP00000305769.4
Q15797	ENSP00000377652.2
Q15797	ENSP00000426568.1
Q9UMX1	ENSP00000358915.2
Q9UMX1	ENSP00000358918.4
Q9UMX1	ENSP00000411597.2
P08151	ENSP00000228682.2
P08151	ENSP00000434408.1
P08151	ENSP00000437607.1
P08151	ENSP00000441006.1
P52952	ENSP00000327758.4
P52952	ENSP00000395378.2
P52952	ENSP00000427906.1
P49715	ENSP00000427514.1
P35638	ENSP00000340671.3
P35638	ENSP00000447188.1
P35638	ENSP00000448665.1
P35638	ENSP00000447803.1
P35638	ENSP00000494844.1
P17676	ENSP00000305422.3
P43246	ENSP00000233146.2
P43246	ENSP00000442697.1
P20585	ENSP00000265081.6
P35269	ENSP00000377969.3
P13984	ENSP00000340823.6
P52701	ENSP00000234420.5
P52701	ENSP00000446475.1
Q9Y6D9	ENSP00000265854.7
Q9Y6D9	ENSP00000382562.2
Q9Y6D9	ENSP00000384155.1
Q9Y6D9	ENSP00000385334.1
Q13257	ENSP00000296509.5
Q13257	ENSP00000332295.5
P61244	ENSP00000246163.2
P61244	ENSP00000284165.6
P61244	ENSP00000342482.2
P61244	ENSP00000351175.4
P61244	ENSP00000351490.4
P61244	ENSP00000378104.2
P61244	ENSP00000451907.1
P61244	ENSP00000452378.1
P01106	ENSP00000367207.3
P01106	ENSP00000430235.2
P01106	ENSP00000478887.2
P01106	ENSP00000499105.1
P01106	ENSP00000516742.1
P01106	ENSP00000516743.1
P01106	ENSP00000516744.1
P01106	ENSP00000516745.1
P09382	ENSP00000215909.5
P05162	ENSP00000215886.4
P07858	ENSP00000342070.3
P07858	ENSP00000345672.5
P07858	ENSP00000431518.2
P07858	ENSP00000433379.3
P07858	ENSP00000434725.2
P07858	ENSP00000433929.2
P07858	ENSP00000435074.2
P07858	ENSP00000435105.1
P07858	ENSP00000433215.1
P07858	ENSP00000435886.2
P07858	ENSP00000432408.2
P07858	ENSP00000431143.2
P07858	ENSP00000432244.1
P07858	ENSP00000435260.2
P07858	ENSP00000434217.1
P07858	ENSP00000493857.2
P07858	ENSP00000494729.2
P07858	ENSP00000503608.1
P07858	ENSP00000504226.1
P07858	ENSP00000503006.1
P07858	ENSP00000504659.1
P07858	ENSP00000503909.1
P07858	ENSP00000503652.1
P07858	ENSP00000504161.1
P07858	ENSP00000502963.1
P07858	ENSP00000503174.1
P07858	ENSP00000503078.1
P07858	ENSP00000504797.1
P07858	ENSP00000503578.1
P07858	ENSP00000503435.1
P07858	ENSP00000503052.1
P07858	ENSP00000504638.1
P07858	ENSP00000503674.1
P07858	ENSP00000503280.1
P07858	ENSP00000503513.1
P07858	ENSP00000504336.1
P07858	ENSP00000503487.1
P07858	ENSP00000503858.1
P07858	ENSP00000504480.1
P07858	ENSP00000503300.1
P07858	ENSP00000518417.1
P07858	ENSP00000518418.1
P07858	ENSP00000518419.1
P07858	ENSP00000518420.1
P07858	ENSP00000518421.1
P07858	ENSP00000518426.1
P07858	ENSP00000518427.1
P07858	ENSP00000518428.1
P07858	ENSP00000518429.1
P07858	ENSP00000518430.1
P07858	ENSP00000518431.1
P07858	ENSP00000518432.1
P07858	ENSP00000518433.1
