A1BG	ENSG00000121410
A1CF	ENSG00000148584
A2M	ENSG00000175899
A2ML1	ENSG00000166535
A3GALT2	ENSG00000184389
A4GALT	ENSG00000128274
A4GNT	ENSG00000118017
AAAS	ENSG00000094914
AACS	ENSG00000081760
AADAC	ENSG00000114771
AADACL2	ENSG00000197953
AADACL3	ENSG00000188984
AADACL4	ENSG00000204518
AADAT	ENSG00000109576
AAGAB	ENSG00000103591
AAK1	ENSG00000115977
AAMDC	ENSG00000087884
AAMP	ENSG00000127837
AANAT	ENSG00000129673
AAR2	ENSG00000131043
AARD	ENSG00000205002
AARS1	ENSG00000090861
AARS2	ENSG00000124608
AARSD1	ENSG00000266967
AASDH	ENSG00000157426
AASDHPPT	ENSG00000149313
AASS	ENSG00000008311
AATF	ENSG00000275700
AATK	ENSG00000181409
ABAT	ENSG00000183044
ABCA1	ENSG00000165029
ABCA10	ENSG00000154263
ABCA12	ENSG00000144452
ABCA13	ENSG00000179869
ABCA2	ENSG00000107331
ABCA3	ENSG00000167972
ABCA4	ENSG00000198691
ABCA5	ENSG00000154265
ABCA6	ENSG00000154262
ABCA7	ENSG00000064687
ABCA8	ENSG00000141338
ABCA9	ENSG00000154258
ABCB1	ENSG00000085563
ABCB10	ENSG00000135776
ABCB11	ENSG00000073734
ABCB4	ENSG00000005471
ABCB5	ENSG00000004846
ABCB6	ENSG00000115657
ABCB7	ENSG00000131269
ABCB8	ENSG00000197150
ABCB9	ENSG00000150967
ABCC1	ENSG00000103222
ABCC10	ENSG00000124574
ABCC11	ENSG00000121270
ABCC12	ENSG00000140798
ABCC2	ENSG00000023839
ABCC3	ENSG00000108846
ABCC4	ENSG00000125257
ABCC5	ENSG00000114770
ABCC6	ENSG00000091262
ABCC8	ENSG00000006071
ABCC9	ENSG00000069431
ABCD1	ENSG00000101986
ABCD2	ENSG00000173208
ABCD3	ENSG00000117528
ABCD4	ENSG00000119688
ABCE1	ENSG00000164163
ABCF1	ENSG00000204574
ABCF3	ENSG00000161204
ABCG1	ENSG00000160179
ABCG2	ENSG00000118777
ABCG4	ENSG00000172350
ABCG5	ENSG00000138075
ABCG8	ENSG00000143921
ABHD1	ENSG00000143994
ABHD10	ENSG00000144827
ABHD11	ENSG00000106077
ABHD12	ENSG00000100997
ABHD12B	ENSG00000131969
ABHD13	ENSG00000139826
ABHD14A	ENSG00000248487
ABHD14B	ENSG00000114779
ABHD15	ENSG00000168792
ABHD16A	ENSG00000204427
ABHD16B	ENSG00000183260
ABHD17A	ENSG00000129968
ABHD17B	ENSG00000107362
ABHD17C	ENSG00000136379
ABHD18	ENSG00000164074
ABHD2	ENSG00000140526
ABHD3	ENSG00000158201
ABHD4	ENSG00000100439
ABHD5	ENSG00000011198
ABHD6	ENSG00000163686
ABHD8	ENSG00000127220
ABI1	ENSG00000136754
ABI2	ENSG00000138443
ABI3	ENSG00000108798
ABI3BP	ENSG00000154175
ABITRAM	ENSG00000119328
ABL1	ENSG00000097007
ABL2	ENSG00000143322
ABLIM1	ENSG00000099204
ABLIM2	ENSG00000163995
