ENSP00000493376	A0A2U3U0J3
ENSP00000484256	A0A087X1J5
ENSP00000484643	A0A087X223
ENSP00000482090	A0A087WYU3
ENSP00000342313	Q96NU1
ENSP00000480870	A0A087WXB3
ENSP00000482138	A0A087WYW1
ENSP00000368717	Q494U1
ENSP00000368678	O00468
ENSP00000462558	J3KSM5
ENSP00000484607	A0A087X208
ENSP00000368720	Q494U1
ENSP00000368719	Q494U1
ENSP00000329982	Q6IEY1
ENSP00000343864	Q5SV97
ENSP00000414022	Q5SV97
ENSP00000363113	Q9NQ94
ENSP00000355235	C0MHM2
ENSP00000363087	B1ALS0
ENSP00000481763	A0A087WYF6
ENSP00000479633	C0MHM2
ENSP00000378868	F8W9F8
ENSP00000384200	Q13976
ENSP00000344037	Q641Q2
ENSP00000378873	Q9NQ94
ENSP00000314417	E7ESD2
ENSP00000494124	A0A2R8Y507
ENSP00000363105	Q9NQ94
ENSP00000282633	Q641Q2
ENSP00000363109	Q9NQ94
ENSP00000382277	F8W7U3
ENSP00000363092	Q13976
ENSP00000363107	Q9NQ94
ENSP00000397953	Q9NQ94
ENSP00000397953	Q5T0W7
ENSP00000409316	Q6IEY1
ENSP00000475427	U3KQ11
ENSP00000379061	E7EW05
ENSP00000348596	Q9NVU7
ENSP00000491792	A0A1W2PQL5
ENSP00000399154	Q14108
ENSP00000492004	A0A1W2PQB7
ENSP00000264896	Q14108
ENSP00000492288	A0A1W2PRF6
ENSP00000491728	A0A1W2PPU6
ENSP00000492831	A0A1W2PS43
ENSP00000492246	A0A1W2PQR6
ENSP00000354829	Q86VZ5
ENSP00000406795	E6ZCI6
ENSP00000409423	Q6ZV65
ENSP00000422262	Q6ZV65
ENSP00000489801	A0A1B0GTQ8
ENSP00000490159	A0A1B0GUL4
ENSP00000494970	A0A2R8Y5P9
ENSP00000296043	Q8TF72
ENSP00000398095	B1AP61
ENSP00000329886	A0A0C4DFQ8
ENSP00000378897	Q9NR71
ENSP00000496551	A0A2R8YH74
ENSP00000495279	A0A2R8YE50
ENSP00000393181	Q5SV95
ENSP00000480678	A0A087WX24
ENSP00000478421	A0A087WU74
ENSP00000480698	A0A087WX34
ENSP00000457889	H3BV03
ENSP00000456534	H3BS47
ENSP00000262135	Q68CZ1
ENSP00000493946	Q68CZ1
ENSP00000455295	H3BPF5
ENSP00000490516	A0A1B0GVH5
ENSP00000490300	A0A1B0GUY7
ENSP00000490047	A0A1B0GUC3
ENSP00000489641	A0A1B0GTC5
ENSP00000418823	Q9C0B1
ENSP00000489936	A0A1B0GU26
ENSP00000394237	P08253
ENSP00000461421	P08253
ENSP00000457949	H3BV48
ENSP00000219070	P08253
ENSP00000456096	H3BR66
ENSP00000444143	P08253
ENSP00000317992	Q9Y3T9
ENSP00000473668	R4GNI5
ENSP00000423044	D6RA91
ENSP00000237642	O95210
ENSP00000415636	Q9C0B1
ENSP00000417422	Q9C0B1
ENSP00000417843	Q9C0B1
ENSP00000268349	X6R3I0
ENSP00000456518	H3BS34
ENSP00000343930	Q6TDP4
ENSP00000425085	D6REB3
ENSP00000393198	E9PB28
ENSP00000304595	Q9HCC6
ENSP00000484713	A0A087X256
ENSP00000448288	F8VSH4
ENSP00000328062	Q2M389
ENSP00000261402	O60285
ENSP00000449990	F8VXF0
ENSP00000445721	Q9NW08
ENSP00000228347	Q9NW08
ENSP00000347662	Q9NVN3
ENSP00000376582	B7WPL0
ENSP00000376583	Q9NVN3
ENSP00000495463	P0C7U1
ENSP00000363118	P0C7U1
ENSP00000363119	P0C7U1
ENSP00000496089	P0C7U1
ENSP00000446873	F8VZ96
ENSP00000373566	Q5M9N0
ENSP00000354901	Q07325
ENSP00000305651	P02778
ENSP00000410533	E7ERA6
ENSP00000448694	F8VRD4
ENSP00000367265	Q07065
ENSP00000376585	Q33E94
ENSP00000447735	F8VZC4
ENSP00000350552	Q33E94
ENSP00000447015	F8W1W1
ENSP00000449240	F8VVU0
ENSP00000229387	Q33E94
ENSP00000447416	F8VW27
ENSP00000448952	Q8N4U5
ENSP00000299045	Q8N4U5
ENSP00000449123	G3V1Z2
ENSP00000448629	F8VRQ3
ENSP00000447174	F8W0R5
ENSP00000447457	F8W1M6
ENSP00000449844	F8VW27
ENSP00000306884	O14625
ENSP00000425819	O14625
ENSP00000401742	Q5M9N0
ENSP00000421345	E9PGR5
ENSP00000343843	Q13508
ENSP00000422287	E7ESB3
ENSP00000421431	E7EX61
ENSP00000348064	Q13508
ENSP00000304313	Q13508
ENSP00000425327	E7ER42
ENSP00000334879	A6NEL2
ENSP00000450166	F8VNZ5
ENSP00000459817	I3L2P2
ENSP00000331608	P78415
ENSP00000455451	H3BPS4
ENSP00000458705	I3L1B5
ENSP00000450396	F8VR30
ENSP00000463991	J3QR11
ENSP00000449785	Q8WUH6
ENSP00000280756	Q8WUH6
ENSP00000446537	Q8WUH6
ENSP00000450304	F8VPI2
ENSP00000446717	Q8WUH6
ENSP00000449106	Q8WUH6
ENSP00000450350	Q8WUH6
ENSP00000473326	R4GMS3
ENSP00000496832	P05161
ENSP00000258530	Q8NEU8
ENSP00000444472	Q8NEU8
ENSP00000447828	F8VS86
ENSP00000446917	Q8NEU8
ENSP00000446510	H0YH86
ENSP00000485643	A0A096LPJ4
ENSP00000485313	A0A096LNZ9
ENSP00000463678	J3QLR9
ENSP00000378132	P78411
ENSP00000453660	H0YML8
ENSP00000316250	P78411
ENSP00000368644	Q96HA4
ENSP00000400736	Q96HA4
ENSP00000368624	Q5T2W9
ENSP00000368623	Q96HA4
ENSP00000390635	Q5T2W7
ENSP00000363081	O94907
ENSP00000392766	E9PBM9
ENSP00000476827	V9GYJ5
ENSP00000363079	P11226
ENSP00000262134	Q7L5N7
ENSP00000464273	J3QRL0
ENSP00000462517	J3KSJ6
ENSP00000495195	A0A2R8Y6C0
ENSP00000483745	Q96QU1
ENSP00000484454	A0A087X1T6
ENSP00000480780	A0A087WX70
ENSP00000482780	A0A087WZN4
ENSP00000363076	A9Z1W1
ENSP00000416740	B2REC4
ENSP00000395935	B2REC5
ENSP00000496523	A0A2R8Y7T7
ENSP00000400882	Q96L46
ENSP00000264893	Q9NVA2
ENSP00000426344	D6RGI3
ENSP00000424925	D6RER5
ENSP00000420839	D6RDU5
ENSP00000422896	Q9NVA2
ENSP00000425262	D6RDP1
ENSP00000422047	D6R9Y6
ENSP00000332444	Q9H0L4
ENSP00000447651	Q49AM1
ENSP00000376575	Q49AM1
ENSP00000240050	Q49AM1
ENSP00000464657	J3QSF0
ENSP00000448343	F8VSD8
ENSP00000422249	H0Y8V6
ENSP00000422559	D6RBT2
ENSP00000457473	P23975
ENSP00000456377	H3BRS0
ENSP00000394956	H3BM11
ENSP00000369237	P23975
ENSP00000454439	H3BML6
ENSP00000219833	P23975
ENSP00000456210	H3BRE9
ENSP00000290552	P78412
ENSP00000368591	Q6ZVT0
ENSP00000368590	Q6ZVT0
ENSP00000368592	Q6ZVT0
ENSP00000383719	Q8N2K1
ENSP00000393301	B1AMF0
ENSP00000425419	D6RD90
ENSP00000344857	A6NGS0
ENSP00000305826	Q8N2K1
ENSP00000383718	A6NGS0
ENSP00000353653	Q8N2K1
ENSP00000321139	Q96P50
ENSP00000346733	Q96P50
ENSP00000378829	A2A3E1
ENSP00000378827	A2A3E5
ENSP00000378833	A2A3E4
ENSP00000482794	A0A087WZN9
ENSP00000378832	Q96QU1
ENSP00000264883	Q7Z3B4
ENSP00000421304	Q7Z3B4
ENSP00000448854	F8VXH5
ENSP00000448398	F8VRU2
ENSP00000449767	F8VWV2
ENSP00000448246	F8VSL4
ENSP00000411233	C9J979
ENSP00000401898	B1AMF1
ENSP00000445001	Q5TA45
ENSP00000444672	Q5TA45
