#Complex ac	Recommended name	Aliases for complex	Taxonomy identifier	Identifiers (and stoichiometry) of molecules in complex	Evidence Code	Experimental evidence	Go Annotations	Cross references	Description	Complex properties	Complex assembly	Ligand	Disease	Agonist	Antagonist	Comment	Source	Expanded participant list
CPX-1	SMAD2-SMAD3-SMAD4 complex	SMAD2/SMAD3/SMAD4 transcription factor complex	9606	P84022(1)|Q13485(1)|Q15796(1)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0071144(heteromeric SMAD protein complex)|GO:0003690(double-stranded DNA binding)|GO:0003700(DNA-binding transcription factor activity)|GO:0006355(regulation of DNA-templated transcription)|GO:0032924(activin receptor signaling pathway)|GO:0007179(transforming growth factor beta receptor signaling pathway)	reactome:R-HSA-9736938(identity)|reactome:R-HSA-9736929(identity)|pubmed:35359452(see-also)|pubmed:16322555(see-also)|complex portal:CPX-1(complex-primary)|wwpdb:1U7V(subset)	A transcription factor complex which binds to the promoters of target genes and recruits co-activators and histone acetyltransferases, such as p300, CBP and P300/CBP-associated factor, facilitating transcription. In response to TGF-beta/activin-family protein binding, TGF-beta type II receptors phosphorylate TGF-beta type I receptors (ALK4, 5 and 7) which in turn phosphorylates SMAD2 on two Ser-465 and Ser-467, and SMAD3 on Ser-423 and Ser-425. This enables binding to SMAD4 to form heteromeric SMAD complexes that enter the nucleus to initiate gene transcription. Because of their relatively low DNA-binding affinity, SMAD complexes interact with a wide variety of DNA-binding proteins. Crosstalk with other signalling pathways and interaction with other DNA-binding cofactors define the specific binding patterns of SMADs; in addition, interaction with coactivators/corepressors modulates their transcriptional activity.	Preferential formation of the regulatory R-Smad/SMAD4 heterotrimer over the R-Smad homotrimer is largely enthalpy driven, contributed by the unique presence of strong electrostatic interactions within the heterotrimeric interfaces. These electrostatic interactions exist only in the heterotrimer due to specific charged residues in the SMAD4 subunit, Asp-493 and Arg-378, mediating complementary electrostatic interactions with the neighbouring R-Smad subunits.	Heterotrimer	-	-	-	-	-	psi-mi:"MI:0469"(IntAct)	P84022(1)|Q13485(1)|Q15796(1)
CPX-8	bZIP transcription factor complex, ATF4-CREB1	-	9606	P16220(1)|P18848(1)	ECO:0005544(biological system reconstruction evidence based on orthology evidence used in manual assertion)	-	GO:0000977(RNA polymerase II transcription regulatory region sequence-specific DNA binding)|GO:0000981(DNA-binding transcription factor activity, RNA polymerase II-specific)|GO:0005634(nucleus)|GO:0006357(regulation of transcription by RNA polymerase II)|GO:0090575(RNA polymerase II transcription regulator complex)	complex portal:CPX-8(complex-primary)|complex portal:CPX-6(inferred-from)|pubmed:23661758(see-also)|pubmed:28186491(see-also)|pubmed:12871976(see-also)	Transcription factor complex that binds the cAMP response element (CRE) (consensus: 5'-GTGACGT[AC][AG]-3') of the GRP78 (HSPA5) promoter. Involved in the ER stress response pathway.	-	Heterodimer	-	-	-	-	-	psi-mi:"MI:0469"(IntAct)	P16220(1)|P18848(1)
CPX-9	bZIP transcription factor complex, ATF1-ATF4	ATF4-ATF1 transcription factor complex	9606	P18846(1)|P18848(1)	ECO:0005544(biological system reconstruction evidence based on orthology evidence used in manual assertion)	-	GO:0005634(nucleus)|GO:0000977(RNA polymerase II transcription regulatory region sequence-specific DNA binding)|GO:0000981(DNA-binding transcription factor activity, RNA polymerase II-specific)|GO:0045944(positive regulation of transcription by RNA polymerase II)|GO:0090575(RNA polymerase II transcription regulator complex)	pubmed:23661758(see-also)|pubmed:28186491(see-also)|complex portal:CPX-9(complex-primary)|complex portal:CPX-7(inferred-from)|pubmed:12871976(see-also)	Transcription factor complex which binds to a specific DNA consensus sequence to regulate transcription. The DNA recognition sequence depends on the composition of the bZIP dimer with the complex either binding to the preferred region of one of the partners or to a novel bZIP cognate site.	Dimerization is mediated by the basic leucine-zipper (bZIP) 60-80 amino acid domain, consisting of a highly conserved DNA binding basic region and a more diversified leucine zipper dimerization region. The latter domain adopts an alpha helical structure where leucine, or leucine-like, side chains line up on the same side of the helix and interact with the alpha helix of the leucine zipper of the other family member to enable dimer formation. DNA binding specificity appears to be linked to low-affinity binding sites which guide transcription factors to their cognate target sites. 	Heterodimer	-	-	-	-	-	psi-mi:"MI:0469"(IntAct)	P18846(1)|P18848(1)
CPX-11	SMAD2 homotrimer	-	9606	Q15796(3)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-25772094	GO:0071142(homomeric SMAD protein complex)	pubmed:16322555(see-also)|wwpdb:1khx(identity)|complex portal:CPX-11(complex-primary)|pubmed:11779503(see-also)	In the absence of Smad4, R-Smad phosphorylation results in homotrimerization, however, this complex does not appear to import into the nucleus and is assumed to be transcriptionally inactive.	The R-Smad homotrimer is stabilized by the interaction between phosphoserine residues of the C-terminal tail and positively charged residues in an adjacent subunit, as well as through extensive hydrogen bonds and van der Waals contacts at the conserved trimer interface.	Homotrimer	-	-	-	-	-	psi-mi:"MI:0469"(IntAct)	Q15796(3)
CPX-12	SMAD3 homotrimer	-	9606	P84022(3)	ECO:0005546(biological system reconstruction evidence based on paralogy evidence used in manual assertion)	-	GO:0071142(homomeric SMAD protein complex)	pubmed:16322555(see-also)|complex portal:CPX-12(complex-primary)|complex portal:CPX-11(inferred-from)|wwpdb:1khx(identity)	In the absence of Smad4, R-Smad phosphorylation results in homotrimerization, however, this complex does not appear to import into the nucleus and is assumed to be transcriptionally inactive.	The R-Smad homotrimer is stabilized by the interaction between phosphoserine residues of the C-terminal tail and positively charged residues in an adjacent subunit, as well as through extensive hydrogen bonds and van der Waals contacts at the conserved trimer interface.	Homotrimer	-	-	-	-	-	psi-mi:"MI:0469"(IntAct)	P84022(3)
CPX-17	Telomerase catalytic core complex	-	9606	O14746(2)|URS00004A7003_9606(2)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-8789396	GO:0000722(telomere maintenance via recombination)|GO:0007004(telomere maintenance via telomerase)|GO:0031860(telomeric 3&apos; overhang formation)|GO:0000333(telomerase catalytic core complex)|GO:0003720(telomerase activity)|GO:0003721(telomeric template RNA reverse transcriptase activity)|GO:0000332(template for synthesis of G-rich strand of telomere DNA activity)	efo:EFO:0000311(see-also)|efo:Orphanet:88(see-also)|efo:Orphanet:2032(see-also)|efo:Orphanet:1775(see-also)|pubmed:22057212(see-also)|intenz:2.7.7.49(identity)|pubmed:11432839(see-also)|complex portal:CPX-17(complex-primary)	A ribonucleoprotein complex essential for the replication of chromosome termini in most eukaryotes. Catalytic component of the telomerase holoenzyme complex whose main activity is the elongation of telomeres. Acts as a reverse transcriptase that adds simple sequence repeats to chromosome ends by copying a template sequence within the RNA component of the enzyme. Catalyzes the RNA-dependent extension of 3'-chromosomal termini with the 6-nucleotide telomeric repeat unit, 5'-TTAGGG-3'. The catalytic cycle involves primer binding, primer extension and release of product once the template boundary has been reached or nascent product translocation followed by further extension. Overexpressed telomerase results in telomere lengthening which may lead to cell immortalization and cancer cell pathogenesis.	-	Homodimer	-	Causes a range of cancers when overexpressed.|Aplastic anemia (AA) [MIM:609135]: A form of anemia in which the bone marrow fails to produce adequate numbers of peripheral blood elements. It is characterized by peripheral pancytopenia and marrow hypoplasia.|Idiopathic pulmonary fibrosis [MIM:178500]: A lung disease characterized by shortness of breath, radiographically evident diffuse pulmonary infiltrates, and varying degrees of inflammation and fibrosis on biopsy. In some cases, the disorder can be rapidly progressive and characterized by sequential acute lung injury with subsequent scarring and end-stage lung disease.|Dyskeratosis congenita: A group of rare multisystem disorders caused by defective telomere maintenance. Clinical features are highly variable and include bone marrow failure, predisposition to malignancy, and pulmonary and hepatic fibrosis. The classic clinical triad of abnormal skin pigmentation, leukoplakia, and nail dystrophy is not always observed. Other features include premature graying of the hair, aplastic anemia, low platelets, osteoporosis, epiphora, dental abnormalities and testicular atrophy, among others. Early mortality is often associated with bone marrow failure, infections, fatal pulmonary complications, or malignancy.	-	-	-	psi-mi:"MI:0469"(IntAct)	O14746(2)
CPX-20	TERT-RMRP complex	-	9606	O14746(0)|URS000075C8FA_9606(0)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-9875772	GO:1990572(TERT-RMRP complex)|GO:0003968(RNA-directed 5'-3' RNA polymerase activity)|GO:0030422(production of siRNA involved in RNA interference)	efo:Orphanet:175(see-also)|intenz:2.7.7.49(identity)|complex portal:CPX-20(complex-primary)|pubmed:19701182(see-also)|rhea:RHEA:22508(identity)	A ribonucleoprotein complex that has RNA-directed RNA polymerase (RdRP) activity and produces double-stranded RNAs that can be processed into small interfering RNA in a DICER (Q9UPY3)-dependent manner.	Composed of telomerase reverse transcriptase (TERT) and the non-coding RNA component of mitochondrial RNA processing endoribonuclease (RMRP).	-	-	Cartilage-hair hypoplasia [Orphanet:175]: A form of short-limbed dwarfism due to skeletal dysplasia.	-	-	-	psi-mi:"MI:0469"(IntAct)	O14746(0)
CPX-35	ANPR-A receptor complex	NPR1 receptor complex	9606	P16066(2)	ECO:0005544(biological system reconstruction evidence based on orthology evidence used in manual assertion)	-	GO:0004383(guanylate cyclase activity)|GO:0007168(receptor guanylyl cyclase signaling pathway)|GO:0008217(regulation of blood pressure)|GO:0016941(natriuretic peptide receptor activity)|GO:0042277(peptide binding)|GO:1990620(ANPR-A receptor complex)	pubmed:14600147(see-also)|pubmed:15117952(see-also)|pubmed:10894551(see-also)|intenz:4.6.1.2(identity)|reactome:R-HSA-6784600(identity)|complex portal:CPX-35(complex-primary)|complex portal:CPX-33(inferred-from)|rhea:RHEA:13665(identity)	Dimeric receptor complex expressed in the atrium. Binding of the ligand AMP in response to atrial distension (high blood volume) plays a major role in the regulation of blood pressure and salt-fluid volume homeostasis. Binding of atrial natriuretic peptide ANP to ANPR-A dimer activates the receptor and stimulates its guanylate cyclase activity, thereby elevating intracellular cGMP levels. cGMP, in return mediates the hormonal actions through cGMP-regulated ion channels, protein kinases and phosphodiesterases. The end result is a reduction in blood volume and, therefore, a reduction in cardiac output and systemic blood pressure.	The ANPR-A dimer complex is composed of two ANPR-A molecules. The ANPR-A monomer has a membrane-distal and a membrane-proximal domain, each consisting of a central beta-sheet surrounded by alpha helices. The ANPR-A monomers form a head-to-head dimer through their membrane distal domains. The membrane-distal domains also bind chloride ions, necessary for ANP binding. ANP binding induces structural changes to the ANPR-A dimer. These involve a shift of the relative positions of the two ANPR-A monomers. This brings two active sites of the GCase domains to optimal proximity and orientation, thereby giving rise to the GCase catalytic activity. 	Homodimer	Chloride ion (CHEBI:15422)|ATP (CHEBI:15422)|ANP (P01160-PRO_0000001494)	-	-	-	-	psi-mi:"MI:0469"(IntAct)	P16066(2)
CPX-37	Calprotectin heterotetramer	-	9606	CHEBI:29035(0)|CHEBI:29105(0)|CHEBI:29108(0)|P05109(2)|P06702(2)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-10097914	GO:0034121(regulation of toll-like receptor signaling pathway)|GO:0035662(Toll-like receptor 4 binding)|GO:1990660(calprotectin complex)|GO:0050786(RAGE receptor binding)	signor:SIGNOR-C293(identity)|efo:Orphanet:586(see-also)|efo:EFO:0000685(see-also)|efo:HP:0004469(see-also)|wwpdb:1xk4(identity)|pubmed:17050004(see-also)|wwpdb:4GGF(identity)|pubmed:25597447(see-also)|complex portal:CPX-37(complex-primary)	A Ca(2+), Mn(2+) and Zn(2+)-binding complex used by the innate immune system in a metal-withholding strategy that limits Mn(2+) and Zn(2+) availability at sites of infection. Calprotectin is expressed and released by neutrophils and epithelial cells, and exhibits broad-spectrum antimicrobial activity attributed to its metal-binding properties. Upon neutrophil activation or endothelial adhesion of monocytes, Calprotectin becomes secreted via a microtubule-mediated pathway and can thus serve as a marker for the influx of mononuclear phagocytes into the site of inflammation. Calprotectin is an endogenous ligand of toll-like receptor 4 (TLR4) and of the receptor for advanced glycation end products (RAGE) initiating signal transduction through NF-kappa-B pathways. 	Each S100 subunit has two EF-hand domains which coordinate two Ca(2+) ions such that each heterodimer contains four distinct Ca(2+)-binding sites. In the absence of Ca(2+), the heterodimeric form of calprotectin predominates, whereas Ca(2+) binding results in formation of a tetrameric form. Each heterodimer contains two transition metal-ion binding sites at the dimer interface that are distinct from the Ca(2+)-binding sites - site 1 (His83 and His87 from S100A8, and His20 and Asp30 from S100A9) and site 2 which can exist as a His4 motif (His17 and His27 of S100A8 and His91 and His95 of S100A9) or a His6 motif (His103 and His105 of S100A9 provide the additional ligand). The heterotetramer binds Zn2+ with high affinity and may also cause heterodimerization of the complex. In the presence of Ca2+, Calprotectin can bind Mn2+ at a single, high affinity site formed at the S100A8/S100A9 interface. 	Heterotetramer	-	Increased serum levels of calprotectin are observed in rheumatoid arthritis, various autoimmune diseases, cystic fibrosis, chronical bronchitis, acute allograft rejection, gut inflammation as well as inflammatory dermatoses and abscesses. Calprotectin is an established faecal marker of inflammatory bowel disease (IBD). Also plays a role in in wound repair after skin injury.	-	-	-	psi-mi:"MI:0469"(IntAct)	P05109(2)|P06702(2)
CPX-39	Calprotectin heterodimer	-	9606	CHEBI:29035(0)|CHEBI:29105(0)|CHEBI:29108(0)|P05109(1)|P06702(1)	ECO:0005546(biological system reconstruction evidence based on paralogy evidence used in manual assertion)	-	GO:0034121(regulation of toll-like receptor signaling pathway)|GO:0035662(Toll-like receptor 4 binding)|GO:0050786(RAGE receptor binding)|GO:1990660(calprotectin complex)	efo:EFO:0000685(see-also)|efo:EFO:0003767(see-also)|efo:HP:0004669(see-also)|efo:Orphanet:586(see-also)|pubmed:17050004(see-also)|wwpdb:1XK4(identity)|pubmed:25597447(see-also)|complex portal:CPX-37(inferred-from)|complex portal:CPX-39(complex-primary)	A Ca(2+), Mn(2+) and Zn(2+)-binding complex used by the innate immune system in a metal-withholding strategy that limits Mn(2+) and Zn(2+) availability at sites of infection. Calprotectin is expressed and released by neutrophils and epithelial cells, and exhibits broad-spectrum antimicrobial activity attributed to its metal-binding properties. Upon neutrophil activation or endothelial adhesion of monocytes, Calprotectin becomes secreted via a microtubule-mediated pathway and can thus serve as a marker for the influx of mononuclear phagocytes into the site of inflammation. Calprotectin is an endogenous ligand of toll-like receptor 4 (TLR4) and of the receptor for advanced glycation end products (RAGE) initiating signal transduction through NF-kappa-B pathways. 	Each S100 subunit has two EF-hand domains which coordinate two Ca(2+) ions such that each heterodimer contains four distinct Ca(2+)-binding sites. In the absence of Ca(2+), the heterodimeric form of calprotectin predominates, whereas Ca(2+) binding results in formation of a tetrameric form. Each heterodimer contains two transition metal-ion binding sites at the dimer interface that are distinct from the Ca(2+)-binding sites - site 1 (His83 and His87 from S100A8, and His20 and Asp30 from S100A9) and site 2 which can exist as a His4 motif (His17 and His27 of S100A8 and His91 and His95 of S100A9) or a His6 motif (His103 and His105 of S100A9 provide the additional ligand). The heterodimer binds Zn2+ with low affinity.	Heterodimer	-	Increased serum levels of calprotectin are observed in rheumatoid arthritis, various autoimmune diseases, cystic fibrosis, chronical bronchitis, acute allograft rejection, gut inflammation as well as inflammatory dermatoses and abscesses. Calprotectin is an established faecal marker of inflammatory bowel disease (IBD). Also plays a role in in wound repair after skin injury.	-	-	-	psi-mi:"MI:0469"(IntAct)	P05109(1)|P06702(1)
